probe,order,perplexity,scoredCount,oovCount,goldLength
after a sleep time he’s going to be two,2,14.32889036959392,8,8,16
when I go high up that means I'm a big girl,2,15.162994022569638,7,11,18
mummy watch this,2,4.3679267425563495,4,5,9
thomas's wheel broke off,2,3.5656541608262424,3,8,11
i want to fly my kite today,2,9.181838443334561,8,7,15
mummy can i have you,2,4.108489826452384,7,4,11
who sings the song on the phone,2,14.857853276994973,4,12,16
all the sky is going to cover the cloud and I think it's going to rain,2,19.743918837819407,7,17,24
i laughed because i'm shy,2,6.322650046812479,2,13,15
maybe he can lift it over to her and so her can get the next present,2,44.80382386767487,6,21,27
we should eat those fruits before they get moldier,2,36.41526367570925,2,16,18
you have to wash your hair,2,8.49755173549433,6,11,17
wiggle wiggle jellyfish,2,6.171005792776717,3,6,9
baby's too small to go on the ride,2,9.283428354053104,7,10,17
daddy was at the top so he can win the prize,2,66.1476970611812,4,15,19
i like peanut butter because i have fingers,2,11.985112386192037,8,11,19
you're not very strong <EOS> you can't go on aeroplanes,2,14.512288200997794,9,8,17
it tastes a bit stingy because of the hoops,2,12.860098772918803,6,11,17
it's missing the red thing <EOS> i can't able to find it,2,15.261994100298498,8,10,18
ballerinas do this but they don't hold cake in their hands,2,12.303201007551085,4,17,21
let's do the train tracks because i never do that for ages,2,24.070788126163748,5,9,14
i want to try to fly outside,2,4.964960544237895,10,6,16
after a sleep time he’s going to be two,3,NA,0,16,16
when I go high up that means I'm a big girl,3,2.25,1,17,18
mummy watch this,3,1.7320508075688774,2,7,9
thomas's wheel broke off,3,1.0,1,10,11
i want to fly my kite today,3,2.4005400019468013,3,12,15
mummy can i have you,3,3.0183494792923335,4,7,11
who sings the song on the phone,3,11.000000000000002,1,15,16
all the sky is going to cover the cloud and I think it's going to rain,3,NA,0,24,24
i laughed because i'm shy,3,NA,0,15,15
maybe he can lift it over to her and so her can get the next present,3,NA,0,27,27
we should eat those fruits before they get moldier,3,NA,0,18,18
you have to wash your hair,3,3.605551275463989,2,15,17
wiggle wiggle jellyfish,3,4.582575694955841,2,7,9
baby's too small to go on the ride,3,1.7320508075688774,2,15,17
daddy was at the top so he can win the prize,3,NA,0,19,19
i like peanut butter because i have fingers,3,3.66253210417894,2,17,19
you're not very strong <EOS> you can't go on aeroplanes,3,1.0,2,15,17
it tastes a bit stingy because of the hoops,3,1.0,1,16,17
it's missing the red thing <EOS> i can't able to find it,3,NA,0,18,18
ballerinas do this but they don't hold cake in their hands,3,NA,0,21,21
let's do the train tracks because i never do that for ages,3,NA,0,14,14
i want to try to fly outside,3,3.0049220937458307,5,11,16
after a sleep time he’s going to be two,4,NA,0,16,16
when I go high up that means I'm a big girl,4,NA,0,18,18
mummy watch this,4,NA,0,9,9
thomas's wheel broke off,4,NA,0,11,11
i want to fly my kite today,4,2.9166666666666665,1,14,15
mummy can i have you,4,2.6457513110645907,2,9,11
who sings the song on the phone,4,NA,0,16,16
all the sky is going to cover the cloud and I think it's going to rain,4,NA,0,24,24
i laughed because i'm shy,4,NA,0,15,15
maybe he can lift it over to her and so her can get the next present,4,NA,0,27,27
we should eat those fruits before they get moldier,4,NA,0,18,18
you have to wash your hair,4,1.0,1,16,17
wiggle wiggle jellyfish,4,3.0000000000000004,1,8,9
baby's too small to go on the ride,4,NA,0,17,17
daddy was at the top so he can win the prize,4,NA,0,19,19
i like peanut butter because i have fingers,4,NA,0,19,19
you're not very strong <EOS> you can't go on aeroplanes,4,NA,0,17,17
it tastes a bit stingy because of the hoops,4,NA,0,17,17
it's missing the red thing <EOS> i can't able to find it,4,NA,0,18,18
ballerinas do this but they don't hold cake in their hands,4,NA,0,21,21
let's do the train tracks because i never do that for ages,4,NA,0,14,14
i want to try to fly outside,4,1.0,2,14,16
