category,input,response
narrative,the duck is crying because he lost his mummy,the duck lost his mummy. he's looking everywhere for her.
narrative,when it's tomorrow it will be my birthday,when it's tomorrow it will be your birthday. and we'll have cake and candles.
narrative,when I'm bigger bigger I can go on the big slide,when you're bigger you'll go on the big slide. and you'll climb the tall ladder too.
narrative,he's my best friend,he's your best friend. what do you like about him?
narrative,his ice cream fell on the ground,his ice cream fell on the ground. he's sad.
narrative,the unicorn isn't changing colours,the unicorn isn't changing colours. why do you think?
narrative,the duck is sad,the duck is sad. why is he sad?
narrative,the baby is hungry,the baby is hungry. what does she want to eat?
narrative,big penguin is tired,big penguin is tired. where will he sleep?
narrative,the dog is barking,the dog is barking. why is he barking?
narrative,the baby is sleeping,the baby is sleeping. where is she sleeping?
narrative,George doesn't like pancakes,George doesn't like pancakes. what does he like?
narrative,after you eat me I'll be a spoon,after I eat you you'll be a spoon. and then I can stir my tea with you.
narrative,kangaroos have teeth,kangaroos have teeth. what do they eat with them?
narrative,you had too many vitamins because you burst into a dinosaur,I had too many vitamins so I burst into a dinosaur. and now I have a big tail.
narrative,she had a spiderman birthday cake,she had a spiderman birthday cake. and everyone sang happy birthday.
narrative,she was crying for her mummy,she was crying for her mummy. her mummy came to find her.
narrative,I didn't go upstairs because there was no space,you didn't go upstairs because there was no space. you waited downstairs instead.
narrative,we played in the garden,we played in the garden. and we found a ladybird under the leaves.
narrative,the cat needs a sick bowl,the cat needs a sick bowl. we'll put one next to her.
narrative,I'm a chocolate cake because I like chocolate,you're a chocolate cake because you like chocolate. and you have sprinkles on top.
narrative,actually they didn't put sprinkles on it,they didn't put sprinkles on it. just icing this time.
narrative,our house is broken,our house is broken. what is broken about it?
narrative,Peppa is a race car driver,Peppa is a race car driver. she drives very fast.
narrative,he's a big boy too and they both go to school,he's a big boy and they both go to school. they walk there together.
narrative,I'm in the school one and you're in the nursery one,you're in the school one and I'm in the nursery one. we're in different ones.
narrative,you can't go upstairs because you're sleeping,I can't go upstairs because I'm sleeping. I will go up when I wake up.
narrative,last time I broke my glasses at nursery,last time you broke your glasses at nursery. we had to get new ones.
narrative,dinosaurs bite things,dinosaurs bite things. what do they bite?
narrative,at animal day there was a snake,there was a snake. did you touch it?
narrative,Willow didn't touch the snake,Willow didn't touch the snake. perhaps she was too scared.
narrative,my hands are dirty because I picked my nose,your hands are dirty because you picked your nose. let's go and wash them.
narrative,maybe it's from the trees,maybe it's from the trees. what do you think it is?
narrative,it needs to be a party card with lots of balloons,it needs to be a party card with lots of balloons. what colour are the balloons?
narrative,today Willow had a flower jumper,today Willow had a flower jumper. yes it was very pretty.
emotional,it hurts when I draw on my hand,it hurts when you draw on your hand. let's draw on paper instead.
observation,this is a pumping up balloon,this is a pumping up balloon. can it fly to the moon?
narrative,Bluey doesn't have any armpits,Bluey doesn't have any armpits. she's not able to reach up high.
narrative,I'll be the tooth fairy because you're asleep,you'll be the tooth fairy because I'm asleep. I hope you leave me a shiny coin.
narrative,Peppa is in the secret room because she's on her own,Peppa is in the secret room because she's on her own. she must be feeling lonely.
narrative,next time you'll wear a different hair clip but not this one,next time I will wear a different hair clip but not this one. and you can help me choose it.
narrative,Willow has a medal and last time she bringed it,Willow has a medal and last time she brought it. she won the medal at sports day.
narrative,this is where my nursery is supposed to be but they haven't built it yet,this is where your nursery is supposed to be but they haven't built it yet. they will build it very quickly.
