category,input,response
narrative,after a sleep time he’s going to be two,after a sleep time he's going to be two. and he's having a party.
narrative,when I go high up that means I'm a big girl,when you go high up that means you're a big girl. you'll be bigger than me.
observation,mummy watch this,i'm watching. wow look at you go.
emotional,thomas's wheel broke off,thomas's wheel broke off. let's glue it back on.
request,i want to fly my kite today,you want to fly your kite today. yes let's go up the hill.
request,mummy can i have you,you want me. of course let's have a cuddle.
information,who sings the song on the phone,no one sings the song. it's a special song made for the phone game.
observation,all the sky is going to cover the cloud and I think it's going to rain,all the sky is going to cover the cloud and you think it's going to rain. yes the rain has started falling.
narrative,i laughed because i'm shy,you laughed because you're shy. laughing can make us not feel shy anymore.
narrative,maybe he can lift it over to her and so her can get the next present,maybe he can lift it over to her and she can get the next present. yes because it's her turn next in pass the parcel.
request,we should eat those fruits before they get moldier,we should eat those fruits before they get moldier. good idea. let's have the banana.
request,you have to wash your hair,you're telling me to wash my hair. not now. i washed it this morning.
observation,wiggle wiggle jellyfish,wiggle wiggle jellyfish. what a funny dance.
narrative,baby's too small to go on the ride,baby's too small to go on the ride. she can go on this baby ride.
narrative,daddy was at the top so he can win the prize,daddy was at the top so he can win the prize. he climbed up the hill first.
observation,i like peanut butter because i have fingers,you like peanut butter because you have fingers. you can use your fingers to scoop it up.
observation,you're not very strong. you can't go on aeroplanes,i'm not very strong so i can't go on aeroplanes. i'll have to become stronger.
observation,it tastes a bit stingy because of the hoops,it tastes a bit stingy because of the hoops. the hoops have a stingy flavour.
observation,it's missing the red thing. i can't able to find it,it's missing the red thing and you aren't able to find it. i'll help you look.
observation,ballerinas do this but they don't hold cake in their hands,ballerinas do this but they don't hold cake in their hands. i'll put the cake down and try again.
request,let's do the train tracks because i never do that for ages,yes let's do the train tracks. you haven't done that for ages.
request,i want to try to fly outside,you want to try to fly outside. let's see how high you can go.
