The duck is crying because he lost his mummy|	sad
My biscuit's broken|	sad
I like that cat though|	happy
When I'm bigger bigger I can go on the big slide|	happy
I wet the bed|	sad
I don't like to have a bath now|	sad
I did it all by my own self|	happy
I don't like dinner|	sad
George is my best friend|	happy
I want to do sticking and glueing!|	happy
I don't want to go to nursery|	sad
Let's play catch!|	happy
I'm not very well|	sad
Tummy hurts|	sad
Cuddle!|	happy
Is it tomorrow?|	happy
Is it my birthday?|	happy
I love ice cream|	happy
Mmmm dinner is yummy|	happy
I hate cabbage, yuck|	sad
This is good|	happy
That is bad|	sad
Let's do something nice|	happy
I'm feeling| sad|	sad
I'm feeling| happy|	happy
That's ok|	happy
That's not ok|	sad
I like bananas|	happy
I don't like spiders|	sad
Yay, we are going to the park!|	happy
I like ducks|	happy
I like chocolate|	happy
I love my toy|	happy
My dog ran away|	sad
It's sunny outside|	happy
His ice cream fell on the ground|	sad
Mummy give me a biscuit|	happy
The unicorn's not changing colours|	sad
I want a pedal bike|	happy
I like biscuits           | happy
I like my teddy           | happy
I like playing            | happy
I like jumping            | happy
I like colouring          | happy
I love mummy              | happy
I love daddy              | happy
I love my blanket         | happy
I want a biscuit          | happy
I want some juice         | happy
I want to play            | happy
I want to go outside      | happy
I want a cuddle           | happy
I don't like green thing      | sad
I don't like bedtime      | sad
I don't like daddy!        | sad
I don't like dinner, yuck!  | sad
The duck is| sad            | sad
The baby is hungry         | sad
My toy is broken           | sad
My jumper is wet           | sad
Big Penguin is tired       | sad
This is fun                | happy
That is silly              | happy
I am silly                 | happy
That is scary              | sad
It is too hot              | sad
It is too cold             | sad
I am| happy                 | happy
I am| sad                   | sad
I am tired                 | sad
I am excited               | happy
I feel| happy               | happy
I feel| sad                 | sad
I feel poorly              | sad
I feel better now          | happy
I fell over                | sad
I bumped my head           | sad
I hurt my finger           | sad
I dropped my biscuit       | sad
My balloon popped       | sad
Mummy helped me            | happy
Daddy fixed it             | happy
Play with me!              | happy
Look at this!              | happy
Come here!                 | happy
Go away!                   | sad
Stop it!                   | sad
Help me!                   | sad
Again! Again!              | happy
More please!               | happy
No thank you               | sad
Yes please!                | happy
